date,open,high,low,close,volume,sma_10,sma_20,ema_10,ema_20
2018-01-01,170.16000366210938,180.10000610351562,164.6999969482422,167.42999267578125,659679400,167.43,167.43,167.43,167.43
2018-02-01,167.1699981689453,180.6199951171875,150.24000549316406,178.1199951171875,927894300,172.77,172.77,178.12,178.12
2018-03-01,178.5399932861328,183.5,164.94000244140625,167.77999877929688,713727700,171.11,171.11,167.78,167.78
2018-04-01,166.63999938964844,178.94000244140625,160.6300048828125,165.25999450683594,666154300,169.65,169.65,165.26,165.26
2018-05-01,166.41000366210938,190.3699951171875,165.27000427246094,186.8699951171875,620976300,173.09,173.09,186.87,186.87
2018-06-01,187.9900054931641,194.1999969482422,180.72999572753903,185.11000061035156,527624500,175.09,175.09,185.11,185.11
2018-07-01,183.82000732421875,195.9600067138672,183.4199981689453,190.2899932861328,393691400,177.27,177.27,190.29,190.29
2018-08-01,199.1300048828125,228.8699951171875,197.30999755859375,227.6300048828125,700318900,183.56,183.56,227.63,227.63
2018-09-01,228.41000366210935,229.6699981689453,215.3000030517578,225.7400054931641,678972000,188.25,188.25,225.74,225.74
2018-10-01,227.9499969482422,233.47000122070312,206.08999633789065,218.86000061035156,789748500,191.31,191.31,191.31,218.86
2018-11-01,219.0500030517578,222.36000061035156,170.25999450683594,178.5800018310547,961326400,192.42,190.15,188.99,178.58
2018-12-01,184.4600067138672,184.94000244140625,146.58999633789062,157.74000549316406,898922500,190.39,187.45,183.31,157.74
2019-01-01,154.88999938964844,169.0,142.0,166.44000244140625,828087400,190.25,185.83,180.24,166.44
2019-02-01,166.9600067138672,175.8699951171875,165.92999267578125,173.14999389648438,472540600,191.04,184.93,178.95,173.15
2019-03-01,174.27999877929688,197.69000244140625,169.5,189.9499969482422,650981400,191.35,185.26,180.95,189.95
2019-04-01,191.63999938964844,208.47999572753903,188.3800048828125,200.6699981689453,506117700,192.91,186.23,184.54,200.67
2019-05-01,209.8800048828125,215.30999755859375,174.99000549316406,175.07000732421875,739456600,191.38,185.57,182.82,175.07
2019-06-01,175.60000610351562,201.57000732421875,170.27000427246094,197.9199981689453,515187300,188.41,186.26,185.56,197.92
2019-07-01,203.1699981689453,221.3699951171875,198.41000366210935,213.0399932861328,473957000,187.14,187.67,190.56,213.04
2019-08-01,213.8999938964844,218.02999877929688,192.5800018310547,208.7400054931641,681074600,186.13,188.72,193.86,188.72
2019-09-01,206.42999267578125,226.4199981689453,204.22000122070312,223.97000122070312,542567100,190.67,191.55,199.34,192.08
2019-10-01,225.07000732421875,249.75,215.1300048828125,248.7599945068359,608302700,199.77,195.08,208.32,197.48
2019-11-01,249.5399932861328,268.0,249.16000366210935,267.25,448331500,209.85,200.05,219.04,204.12
2019-12-01,267.2699890136719,293.9700012207031,256.2900085449219,293.6499938964844,597198700,221.9,206.47,232.6,212.65
