date,open,high,low,close,volume,sma_10,sma_20,ema_10,ema_20
2018-01-01,1172.0,1472.5799560546875,1170.510009765625,1450.8900146484375,96371200,1450.89,1450.89,1450.89,1450.89
2018-02-01,1445.0,1528.699951171875,1265.9300537109375,1512.449951171875,137784000,1481.67,1481.67,1512.45,1512.45
2018-03-01,1513.5999755859375,1617.5400390625,1365.199951171875,1447.3399658203125,130400100,1470.23,1470.23,1447.34,1447.34
2018-04-01,1417.6199951171875,1638.0999755859375,1352.8800048828125,1566.1300048828125,129919600,1494.2,1494.2,1566.13,1566.13
2018-05-01,1563.219970703125,1635.0,1546.02001953125,1629.6199951171875,71615500,1521.29,1521.29,1629.62,1629.62
2018-06-01,1637.030029296875,1763.0999755859375,1635.0899658203125,1699.800048828125,85941300,1551.04,1551.04,1699.8,1699.8
2018-07-01,1682.699951171875,1880.050048828125,1678.06005859375,1777.43994140625,97521100,1583.38,1583.38,1777.44,1777.44
2018-08-01,1784.0,2025.5699462890625,1776.02001953125,2012.7099609375,96575800,1637.05,1637.05,2012.71,2012.71
2018-09-01,2026.5,2050.5,1865.0,2003.0,94445500,1677.71,1677.71,2003.0,2003.0
2018-10-01,2021.989990234375,2033.18994140625,1476.3599853515625,1598.010009765625,183220800,1669.74,1669.74,1669.74,1598.01
2018-11-01,1623.530029296875,1784.0,1420.0,1690.1700439453125,139290000,1693.67,1671.6,1673.45,1690.17
2018-12-01,1769.4599609375,1778.3399658203125,1307.0,1501.969970703125,154812700,1692.62,1657.46,1642.27,1501.97
2019-01-01,1465.199951171875,1736.4100341796875,1460.9300537109375,1718.72998046875,134001700,1719.76,1662.17,1656.18,1718.73
2019-02-01,1638.8800048828125,1673.06005859375,1566.760009765625,1639.8299560546875,80936900,1727.13,1660.58,1653.2,1639.83
2019-03-01,1655.1300048828125,1823.75,1586.5699462890625,1780.75,100832200,1742.24,1668.59,1676.39,1780.75
2019-04-01,1800.1099853515625,1956.3399658203125,1798.72998046875,1926.52001953125,81293700,1764.91,1684.71,1721.87,1926.52
2019-05-01,1933.0899658203125,1964.4000244140625,1772.699951171875,1775.0699462890625,98214400,1764.68,1690.03,1731.54,1775.07
2019-06-01,1760.010009765625,1935.199951171875,1672.0,1893.6300048828125,74742700,1752.77,1701.34,1761.01,1893.63
2019-07-01,1922.97998046875,2035.800048828125,1849.43994140625,1866.780029296875,73177400,1739.15,1710.04,1780.24,1866.78
2019-08-01,1871.719970703125,1897.9200439453125,1743.510009765625,1776.2900390625,79771200,1756.97,1713.36,1779.53,1713.36
2019-09-01,1770.0,1853.6600341796875,1709.219970703125,1735.9100341796875,61172900,1761.55,1727.61,1771.6,1715.5
2019-10-01,1746.0,1798.8499755859375,1685.06005859375,1776.6600341796875,70360500,1789.02,1740.82,1772.52,1721.33
2019-11-01,1788.010009765625,1824.68994140625,1722.7099609375,1800.800048828125,52076200,1797.22,1758.49,1777.66,1728.9
2019-12-01,1804.4000244140625,1901.4000244140625,1735.0,1847.8399658203125,68149600,1818.03,1772.58,1790.42,1740.23
