date,open,high,low,close,volume,sma_10,sma_20,ema_10,ema_20
2018-01-01,196.1000061035156,286.80999755859375,195.4199981689453,270.29998779296875,238377600,270.3,270.3,270.3,270.3
2018-02-01,266.4100036621094,297.3599853515625,236.11000061035156,291.3800048828125,184585800,280.84,280.84,291.38,291.38
2018-03-01,292.75,333.9800109863281,275.8999938964844,295.3500061035156,263449400,285.68,285.68,295.35,295.35
2018-04-01,291.94000244140625,338.82000732421875,271.2200012207031,312.4599914550781,262006000,292.37,292.37,312.46,312.46
2018-05-01,310.3599853515625,356.1000061035156,305.7300109863281,351.6000061035156,142050800,304.22,304.22,351.6,351.6
2018-06-01,353.8800048828125,423.2099914550781,352.82000732421875,391.4299926757813,244031800,318.75,318.75,391.43,391.43
2018-07-01,385.4500122070313,419.7699890136719,328.0,337.45001220703125,305393800,321.42,321.42,337.45,337.45
2018-08-01,335.8699951171875,376.80999755859375,310.92999267578125,367.6799926757813,213122300,327.21,327.21,367.68,367.68
2018-09-01,366.4700012207031,383.2000122070313,335.8299865722656,374.1300048828125,170832100,332.42,332.42,374.13,374.13
2018-10-01,375.8500061035156,386.7999877929687,271.2099914550781,301.7799987792969,363589800,329.36,329.36,329.36,301.78
2018-11-01,304.5899963378906,332.04998779296875,250.0,286.1300048828125,257126400,330.94,325.43,321.5,286.13
2018-12-01,293.19000244140625,298.7200012207031,231.22999572753903,267.6600036621094,234310000,328.57,320.61,311.71,267.66
2019-01-01,259.2799987792969,358.8500061035156,256.5799865722656,339.5,306616400,332.98,322.07,316.76,339.5
2019-02-01,337.17999267578125,371.489990234375,336.5,358.1000061035156,148192100,337.55,324.64,324.28,358.1
2019-03-01,362.260009765625,379.0,342.4700012207031,356.55999755859375,144843100,338.04,326.77,330.15,356.56
2019-04-01,359.0,384.7999877929687,342.2699890136719,370.5400085449219,165079400,335.95,329.5,337.49,370.54
2019-05-01,374.0,385.989990234375,341.3900146484375,343.2799987792969,125298300,336.54,330.31,338.54,343.28
2019-06-01,343.55999755859375,375.0,332.6499938964844,367.3200073242187,111052000,336.5,332.37,343.78,367.32
2019-07-01,373.5,384.760009765625,305.80999755859375,322.989990234375,196671300,331.39,331.88,340.0,322.99
2019-08-01,324.25,328.5799865722656,287.20001220703125,293.75,137076700,330.58,329.97,331.59,329.97
2019-09-01,290.82000732421875,301.54998779296875,252.27999877929688,267.6199951171875,175411300,328.73,329.84,319.96,324.03
2019-10-01,267.3500061035156,308.75,257.010009765625,287.4100036621094,231556400,330.71,329.64,314.04,320.54
2019-11-01,288.70001220703125,316.82000732421875,281.1400146484375,314.6600036621094,113645900,328.22,330.6,314.15,319.98
2019-12-01,314.3900146484375,338.0,292.0199890136719,323.57000732421875,124723600,324.77,331.16,315.86,320.32
