date,open,high,low,close,volume,sma_10,sma_20,ema_10,ema_20
2018-01-01,63.900001525878906,66.5199966430664,62.439998626708984,65.0999984741211,65504500,65.1,65.1,65.1,65.1
2018-02-01,64.69999694824219,65.11000061035156,57.060001373291016,60.61000061035156,90428400,62.85,62.85,60.61,60.61
2018-03-01,60.779998779296875,65.77999877929688,59.72999954223633,61.040000915527344,79342000,62.25,62.25,61.04,61.04
2018-04-01,60.400001525878906,65.68000030517578,58.90999984741211,60.5099983215332,116690100,61.81,61.81,60.51,60.51
2018-05-01,60.77000045776367,61.189998626708984,55.09000015258789,55.70000076293945,110403700,60.59,60.59,55.7,55.7
2018-06-01,56.0,61.15999984741211,55.900001525878906,59.75,70990700,60.45,60.45,59.75,59.75
2018-07-01,59.459999084472656,62.09000015258789,57.88999938964844,60.0,52193400,60.39,60.39,60.0,60.0
2018-08-01,59.95000076293945,66.63999938964844,59.13999938964844,66.04000091552734,74869500,61.09,61.09,66.04,66.04
2018-09-01,65.73999786376953,70.87999725341797,64.06999969482422,70.18000030517578,56832800,62.1,62.1,70.18,70.18
2018-10-01,70.70999908447266,70.94000244140625,63.47999954223633,68.55000305175781,99668700,62.75,62.75,62.75,68.55
2018-11-01,68.95999908447266,70.77999877929688,66.08000183105469,68.44999694824219,68522800,63.08,63.27,63.78,68.45
2018-12-01,68.5,69.0199966430664,59.959999084472656,63.61000061035156,76362500,63.38,63.3,63.75,63.61
2019-01-01,62.869998931884766,70.12000274658203,62.54999923706055,69.62000274658203,81661900,64.24,63.78,64.82,69.62
2019-02-01,69.45999908447266,74.05999755859375,65.55999755859375,72.20999908447266,71356500,65.41,64.38,66.16,72.21
2019-03-01,72.38999938964844,74.05999755859375,68.16000366210938,69.0999984741211,64555300,66.75,64.7,66.7,69.1
2019-04-01,69.54000091552734,74.7300033569336,68.69999694824219,72.98999786376953,66687800,68.08,65.22,67.84,72.99
2019-05-01,73.13999938964844,80.93000030517578,72.25,73.44000244140625,96013900,69.42,65.7,68.86,73.44
2019-06-01,73.62000274658203,79.26000213623047,72.7699966430664,74.13999938964844,67705200,70.23,66.17,69.82,74.14
2019-07-01,74.66999816894531,85.22000122070312,73.91999816894531,79.7300033569336,179758300,71.18,66.88,71.62,79.73
2019-08-01,79.98999786376953,80.30999755859375,75.2699966430664,78.05000305175781,58871900,72.13,67.44,72.79,67.44
2019-09-01,77.9000015258789,81.1500015258789,76.7699966430664,78.7699966430664,51493800,73.17,68.12,73.88,68.52
2019-10-01,78.87999725341797,83.8499984741211,75.81999969482422,82.66000366210938,58139100,75.07,69.23,75.47,69.87
2019-11-01,83.08999633789062,83.19000244140625,76.33000183105469,78.55000305175781,57236000,75.96,70.1,76.03,70.69
2019-12-01,78.58000183105469,78.83999633789062,74.30999755859375,78.41999816894531,57775600,76.59,71.0,76.47,71.43
